view_date,ticker,ret_7h_pred,ret_7h_real,abs_error,direction_hit,context_hours_available,context_hours_used,max_context_hours,context_start,context_end
2025-09-09,ABEV3,-0.009853221476078033,0.015248804353177547,0.02510202582925558,0,9033,9033,-1,2020-09-25 18:00:00,2025-09-09 13:00:00
2025-09-10,ABEV3,-0.008687934838235378,0.010209135711193085,0.018897070549428463,0,9040,9040,-1,2020-09-25 18:00:00,2025-09-10 13:00:00
2025-09-11,ABEV3,0.0005429931916296482,0.007933580316603184,0.0073905871249735355,1,9047,9047,-1,2020-09-25 18:00:00,2025-09-11 13:00:00
2025-09-12,ABEV3,0.004753537476062775,0.0011135904351249337,0.003639947040937841,1,9054,9054,-1,2020-09-25 18:00:00,2025-09-12 13:00:00
2025-09-15,ABEV3,0.027712050825357437,0.007952982559800148,0.01975906826555729,1,9061,9061,-1,2020-09-25 18:00:00,2025-09-15 13:00:00
2025-09-16,ABEV3,0.0339113250374794,0.0069577391259372234,0.026953585911542177,1,9068,9068,-1,2020-09-25 18:00:00,2025-09-16 13:00:00
2025-09-17,ABEV3,-0.015014592558145523,0.005448510870337486,0.02046310342848301,0,9075,9075,-1,2020-09-25 18:00:00,2025-09-17 13:00:00
2025-09-18,ABEV3,0.013624112121760845,-0.02003283053636551,0.033656942658126354,0,9082,9082,-1,2020-09-25 18:00:00,2025-09-18 13:00:00
2025-09-19,ABEV3,-0.011913800612092018,-0.004529730416834354,0.007384070195257664,1,9089,9089,-1,2020-09-25 18:00:00,2025-09-19 13:00:00
2025-09-22,ABEV3,-0.028668906539678574,-0.006720602512359619,0.021948304027318954,1,9096,9096,-1,2020-09-25 18:00:00,2025-09-22 13:00:00
2025-09-23,ABEV3,0.0009009474888443947,0.007475109770894051,0.006574162282049656,1,9103,9103,-1,2020-09-25 18:00:00,2025-09-23 13:00:00
2025-09-24,ABEV3,-0.03003249131143093,-0.008435776457190514,0.021596714854240417,1,9110,9110,-1,2020-09-25 18:00:00,2025-09-24 13:00:00
2025-09-25,ABEV3,-0.01723075844347477,0.00919356755912304,0.02642432600259781,0,9117,9117,-1,2020-09-25 18:00:00,2025-09-25 13:00:00
2025-09-26,ABEV3,-0.011505579575896263,-0.003826857078820467,0.007678722497075796,1,9124,9124,-1,2020-09-25 18:00:00,2025-09-26 13:00:00
