view_date,capital_bl_real_brl,capital_selic_brl,ganho_bl_real_pct,ganho_selic_pct,mode,ret_mkv,capital_mkv,capital_mkv_brl,ganho_mkv_pct,ret_bl_real
2025-10-15,129163.81469777982,111606.92954441252,29.16381469777982,11.606929544412536,monthly,0.010096948239494747,1.3310157271680605,133101.57271680605,33.10157271680605,0.00355200083479823
2025-10-16,128900.46811494551,111668.8451300354,28.90046811494551,11.668845130035413,monthly,0.0002190104729766283,1.3313072335520069,133130.7233552007,33.130723355200686,-0.002038857271678518
2025-10-17,129794.3432943064,111730.79506424004,29.79434329430639,11.73079506424004,monthly,0.00304387576700976,1.3353595673786605,133535.95673786604,33.535956737866044,0.006934615462868443
2025-10-20,131164.20603056496,111792.77936608178,31.164206030564976,11.792779366081785,monthly,0.01574039996932656,1.3563786610720676,135637.86610720676,35.63786610720676,0.010554101985418729
2025-10-21,130175.31763949012,111854.79805462662,30.175317639490128,11.854798054626611,monthly,-0.008112347506964844,1.3453752460224193,134537.52460224193,34.53752460224193,-0.007539315953655867
2025-10-22,131544.97497639994,111916.85114895109,31.544974976399946,11.916851148951068,monthly,0.009047738311524797,1.3575478491792334,135754.78491792333,35.754784917923345,0.010521636219110064
2025-10-23,131527.09050509287,111978.93866814223,31.527090505092858,11.978938668142236,monthly,0.002792802787126944,1.3613392125960793,136133.92125960792,36.133921259607924,-0.0001359570847178082
2025-10-24,131343.4751284426,112041.06063129782,31.3434751284426,12.041060631297816,monthly,0.0012512751840920743,1.3630426225699321,136304.2622569932,36.30426225699321,-0.0013960270537813901
2025-10-27,132243.5168770134,112103.21705752613,32.24351687701341,12.103217057526129,monthly,0.0052335462893525475,1.3701761692295122,137017.61692295122,37.01761692295123,0.006852580592150659
2025-10-28,132955.25583792652,112165.40796594604,32.955255837926515,12.165407965946052,monthly,0.004323895677207284,1.3761006680446564,137610.06680446563,37.61006680446564,0.005382032917160329
2025-10-29,135576.10749047925,112227.63337568707,35.57610749047926,12.227633375687086,monthly,0.024122181219487338,1.4092952177354872,140929.5217735487,40.929521773548714,0.019712283174029288
2025-10-30,135890.4919167266,112289.89330588936,35.89049191672662,12.289893305889365,monthly,-0.0107538806558942,1.3941398251550372,139413.9825155037,39.41398251550372,0.002318877802782726
2025-10-31,137576.05788567645,112352.1877757036,37.57605788567644,12.352187775703616,monthly,0.010487520543336175,1.4087608952116337,140876.08952116338,40.87608952116337,0.0124038550834209
2025-11-03,138771.92432540673,112414.51680429118,38.77192432540673,12.414516804291177,monthly,0.009118631456094907,1.421606866624827,142160.68666248268,42.160686662482696,0.008692402283571932
2025-11-04,138516.72014103163,112476.88041082406,38.51672014103163,12.476880410824066,monthly,-0.0002027970702552994,1.4213185689172205,142131.85689172204,42.13185689172205,-0.0018390188477653835
2025-11-05,140081.8664457821,112539.27861448488,40.08186644578209,12.539278614484871,monthly,0.018010721610014546,1.4469175419811329,144691.75419811328,44.69175419811329,0.01129933125154059
2025-11-06,139899.2672642596,112601.7114344669,39.899267264259606,12.601711434466887,monthly,0.0006021806735228739,1.447788847761095,144778.8847761095,44.77888477610949,-0.0013035176226265932
2025-11-07,139485.9228396234,112664.17888997402,39.4859228396234,12.66417888997402,monthly,-0.0030795708548030437,1.443330279421621,144333.0279421621,44.3330279421621,-0.0029545860583773953
2025-11-10,140395.5407848924,112726.68100022084,40.39554078489238,12.726681000220829,monthly,0.007421928542076782,1.4540425736181037,145404.25736181036,45.40425736181037,0.006521216813504704
2025-11-11,142378.89552705752,112789.21778443256,42.37889552705752,12.78921778443256,monthly,0.01569551977636013,1.4768645275879964,147686.45275879963,47.68645275879963,0.014126906959273988
2025-11-12,141382.5843216415,112851.78926184509,41.3825843216415,12.851789261845092,monthly,-0.005587538219298367,1.4686124905953724,146861.24905953722,46.861249059537236,-0.006997604537722246
2025-11-13,141364.8699995759,112914.395451705,41.364869999575895,12.914395451704983,monthly,-0.003706246128703512,1.4631694512375377,146316.94512375377,46.31694512375377,-0.0001252935228946983
2025-11-14,141276.5308351082,112977.03637326948,41.27653083510821,12.97703637326948,monthly,-0.0031114870076158377,1.4586168185000716,145861.68185000715,45.861681850007166,-0.0006249018194405265
2025-11-17,140874.44776384704,113039.71204580647,40.87444776384706,13.039712045806496,monthly,-0.0021624483011165097,1.4554626350389261,145546.2635038926,45.54626350389262,-0.0028460712397477828
2025-11-18,139902.1748592539,113102.42248859466,39.90217485925389,13.102422488594655,monthly,-0.013506696274341905,1.435804143288802,143580.4143288802,43.5804143288802,-0.00690169807247798
2025-11-19,138877.1142827747,113165.16772092326,38.87711428277471,13.165167720923264,monthly,-0.007973631734734015,1.4243555698070118,142435.5569807012,42.435556980701186,-0.007326980995902566
2025-11-21,139587.60445893757,113227.94776209231,39.58760445893756,13.22794776209233,monthly,0.0049334764881720245,1.4313825945214518,143138.25945214517,43.13825945214518,0.00511596298520578
2025-11-24,139411.40380697668,113290.76263141258,39.41140380697669,13.290762631412578,monthly,-0.0023716616888818823,1.4279878392598928,142798.7839259893,42.798783925989284,-0.0012622944038896966
2025-11-25,140067.8448535778,113353.61234820542,40.067844853577775,13.353612348205424,monthly,0.007320649407920166,1.4384416375898879,143844.16375898878,43.844163758988785,0.0047086610469111445
2025-11-26,142464.20615083876,113416.49693180302,42.46420615083875,13.416496931803024,monthly,0.019170124545027215,1.4660167429332391,146601.67429332391,46.60167429332391,0.017108575489014344
2025-11-27,142090.535907286,113479.41640154828,42.090535907285975,13.47941640154826,monthly,-0.002841483012725593,1.461851081261823,146185.1081261823,46.18510812618231,-0.002622906157615068
2025-11-28,144496.6398146131,113542.37077679472,44.49663981461309,13.54237077679472,monthly,0.012897175512327953,1.480704831229743,148070.4831229743,48.07048312297431,0.016933597244626508
2025-12-01,144295.87241751165,113605.36007690676,44.29587241751165,13.60536007690676,monthly,-0.0054470089339672175,1.4726394187854663,147263.94187854664,47.26394187854663,-0.0013894260611113651
2025-12-02,146236.5631543213,113668.38432125944,46.236563154321296,13.668384321259431,monthly,0.006656532841036807,1.4824420914396172,148244.20914396172,48.244209143961726,0.013449384963655664
2025-12-03,146401.59744813398,113731.4435292386,46.40159744813399,13.731443529238586,monthly,0.006352151430217409,1.49185878809097,149185.878809097,49.18587880909699,0.001128543301708529
2025-12-04,147935.95256467405,113794.5377202408,47.93595256467405,13.794537720240818,monthly,0.006716708176825581,1.5018791682116097,150187.91682116096,50.18791682116097,0.010480453378137744
2025-12-05,140799.445203372,113857.66691367349,40.79944520337197,13.857666913673471,monthly,-0.03670932051514841,1.4467462044507053,144674.62044507053,44.67462044507053,-0.048240520560288824
2025-12-08,142094.0751140289,113920.83112895464,42.09407511402892,13.920831128954658,monthly,0.0009934948157013482,1.4481835393044626,144818.35393044626,44.818353930446264,0.009194850936997234
2025-12-09,141795.44506260246,113984.03038551324,41.79544506260247,13.984030385513256,monthly,-0.003394667956968136,1.443267437047777,144326.7437047777,44.32674370477769,-0.0021016361955049634
2025-12-10,142315.31263057978,114047.26470278892,42.31531263057977,14.04726470278892,monthly,0.01089140671115396,1.458986649697629,145898.6649697629,45.89866496976289,0.0036663206476610366
2025-12-11,142773.31258587417,114110.53410023214,42.77331258587418,14.11053410023213,monthly,0.011951111502135424,1.4764231618282921,147642.3161828292,47.64231618282921,0.00321820573505871
2025-12-12,144326.42038314606,114173.8385973041,44.32642038314605,14.1738385973041,monthly,0.009003999200960875,1.4897168747976743,148971.68747976742,48.97168747976743,0.010878138001720217
2025-12-15,146550.48378294293,114237.17821347687,46.55048378294293,14.237178213476875,monthly,0.012196853938318902,1.5078867339290303,150788.67339290303,50.78867339290303,0.0154099533120311
2025-12-16,144160.17208956234,114300.55296823329,44.16017208956235,14.300552968233273,monthly,-0.009906764160511727,1.492948455675231,149294.8455675231,49.294845567523105,-0.016310500188596366
2025-12-17,142911.60449281748,114363.96288106695,42.91160449281748,14.36396288106696,monthly,-0.0013499766797714745,1.4909330100759688,149093.3010075969,49.09330100759688,-0.00866097465511606
2025-12-18,142955.3514658437,114427.4079714824,42.955351465843705,14.427407971482388,monthly,4.7025214853460996e-05,1.4910031215210997,149100.31215210998,49.10031215210997,0.00030611211161946095
2025-12-19,145854.05006231173,114490.88825899483,45.854050062311735,14.49088825899485,monthly,0.0249135434427859,1.528149292562445,152814.9292562445,52.81492925624449,0.020276950577541752
2025-12-22,145096.8445890981,114554.40376313044,45.09684458909808,14.55440376313044,monthly,0.002108266325831642,1.5313710382567978,153137.10382567978,53.13710382567977,-0.005191528606097284
2025-12-23,148164.32612737952,114617.95450342612,48.16432612737951,14.617954503426112,monthly,0.011959972143197653,1.5496861932152486,154968.61932152486,54.968619321524855,0.021140925200463734
2025-12-26,149244.4569309315,114681.54049942964,49.24445693093151,14.681540499429625,monthly,0.006890853622483281,1.560364853933478,156036.4853933478,56.0364853933478,0.007290086836580167
2025-12-29,149262.86707245416,114745.16177069962,49.26286707245416,14.74516177069962,monthly,-0.00030694044010850336,1.5598859148584818,155988.59148584818,55.98859148584818,0.00012335561334220202
2025-12-30,150046.69435044058,114808.81833680556,50.04669435044058,14.808818336805562,monthly,0.000856239066910925,1.5612215501187077,156122.15501187075,56.12215501187077,0.005251321332357506
2025-01-03,98053.81084367746,100055.47647074929,-1.9461891563225309,0.0554764707492827,weekly,-0.017971589497802243,0.9820284105021978,98202.84105021978,-1.7971589497802198,
2025-01-06,99024.85837508092,100110.98371788664,-0.9751416249190848,0.1109837178866257,weekly,0.011508637898864894,0.9933302198850654,99333.02198850655,-0.6669780114934576,0.009903210523368067
2025-01-07,99669.885238044,100166.5217584857,-0.3301147619560129,0.1665217584857048,weekly,0.009893091984867985,1.0031573271217376,100315.73271217376,0.3157327121737552,0.006513787280764127
2025-01-08,98414.007095045,100222.09060962964,-1.5859929049549917,0.2220906096296326,weekly,-0.01109011196178864,0.9920322000486689,99203.22000486689,-0.7967799951331123,-0.012600377134974639
2025-01-09,98112.96921990784,100277.690288411,-1.8870307800921693,0.2776902884110033,weekly,-0.0015683466013838524,0.9904763497192592,99047.63497192593,-0.9523650280740759,-0.0030588925705100634
2025-01-10,97306.94841069978,100333.32081193192,-2.6930515893002105,0.3333208119319142,weekly,-0.00881429062246768,0.9817460033181528,98174.60033181528,-1.825399668184724,-0.008215232049510801
2025-01-13,97692.6309518461,100388.98219730392,-2.3073690481538955,0.388982197303922,weekly,0.0035465280135288163,0.9852277930210904,98522.77930210905,-1.4772206978909574,0.00396356629660688
2025-01-14,98588.85380889372,100444.67446164812,-1.4111461911062828,0.4446744616481091,weekly,0.008294065129569917,0.9933993365038698,99339.93365038699,-0.6600663496130199,0.009173904401135191
2025-01-15,101566.81679053578,100500.39762209504,1.5668167905357857,0.500397622095039,weekly,0.026812657290412427,1.020035012466071,102003.5012466071,2.003501246607109,0.03020587892638038
